departure_bin,stability_fidelity_bin,n,correctness,departure_center,stability_fidelity_center,reconstruction_score,stability_guard
"(-0.00343, 0.203]","(-0.344, -0.0112]",253,0.6007905138339921,0.1048538771771059,-0.27791571890501116,0.644379,-0.4153667288987711
"(-0.00343, 0.203]","(-0.0112, 0.205]",55,0.4,0.1482091880221634,0.15155505047313836,0.695072,0.6189846181508727
"(-0.00343, 0.203]","(0.205, 0.486]",141,0.6382978723404256,0.06045662368005012,0.39476826564264894,0.764978,0.94686904156456
"(-0.00343, 0.203]","(0.486, 1.159]",44,0.5,0.07255059889543561,0.6118507877372459,0.769752,1.3654439148433783
"(-0.00343, 0.203]","(1.159, 3.521]",59,0.4576271186440678,0.060181607888754186,1.3484745269093628,0.91725,3.620885304106854
"(0.203, 0.51]","(-3.108, -1.397]",163,0.36809815950920244,0.438333712328831,-1.514200776938002,0.312456,-1.8497502590914574
"(0.203, 0.51]","(-1.397, -0.749]",6,0.3333333333333333,0.21191435402692255,-0.793946896008705,0.502248,-1.0550344331354038
"(0.203, 0.51]","(-0.749, -0.344]",80,0.6125,0.3965063530160707,-0.496926550553885,0.582912,-0.8056278071045551
"(0.203, 0.51]","(-0.344, -0.0112]",296,0.6385135135135135,0.2674910955283223,-0.09414927954376012,0.581332,0.13712756690329198
"(0.203, 0.51]","(-0.0112, 0.205]",232,0.646551724137931,0.2845471430432619,0.08095336495946345,0.690372,0.4204244561411602
"(0.203, 0.51]","(0.205, 0.486]",188,0.6170212765957447,0.3547334748773974,0.34950641050892,0.758221,0.9411652042492563
"(0.203, 0.51]","(0.486, 1.159]",44,0.5227272727272727,0.36243244377686634,0.5123544714596364,0.769752,1.2879563716753752
"(0.203, 0.51]","(1.159, 3.521]",97,0.5567010309278351,0.3990469185537428,2.4274499378546674,1.401415,3.4801334358886855
"(0.51, 0.897]","(-3.108, -1.397]",63,0.4126984126984127,0.8368431960383182,-1.7963920977252568,0.312456,-2.9938837162163097
"(0.51, 0.897]","(-1.397, -0.749]",96,0.5625,0.5952420225680966,-1.1260972293733595,0.393685,-1.185902392068518
"(0.51, 0.897]","(-0.749, -0.344]",150,0.66,0.6506633545436806,-0.39362201488786636,0.61116,-0.65777676829625
"(0.51, 0.897]","(-0.344, -0.0112]",97,0.5051546391752577,0.6899608785040832,-0.06955116208138704,0.68434,-0.14506996167616676
"(0.51, 0.897]","(-0.0112, 0.205]",197,0.649746192893401,0.650342985982453,0.07972487376172317,0.681005,0.45009039406372675
"(0.51, 0.897]","(0.205, 0.486]",277,0.6606498194945848,0.5974112393361173,0.4446666453709771,0.751788,1.057079685881166
"(0.51, 0.897]","(0.486, 1.159]",92,0.6739130434782609,0.816853283910633,1.0523110853312647,0.926948,1.6742307114817228
"(0.51, 0.897]","(1.159, 3.521]",134,0.6492537313432836,0.5922229709807005,1.4870792896352882,0.930924,2.2161965087966684
"(0.897, 8.0]","(-3.108, -1.397]",133,0.518796992481203,1.105485527431499,-1.7723977402069102,0.31627,-3.035316847268903
"(0.897, 8.0]","(-1.397, -0.749]",78,0.4358974358974359,8.0,-0.9776361894346131,0.509492,-1.8809225915147667
"(0.897, 8.0]","(-0.344, -0.0112]",31,0.2903225806451613,1.047287447249604,-0.08094442527801901,0.651747,0.08569671645925986
"(0.897, 8.0]","(-0.0112, 0.205]",120,0.65,1.167009160959089,0.14187479975459588,0.691028,0.703675462130837
"(0.897, 8.0]","(0.205, 0.486]",211,0.6398104265402843,1.382355335807068,0.3832784205822413,0.751788,0.7722199972745213
"(0.897, 8.0]","(0.486, 1.159]",340,0.6,2.4149521930452202,1.0655894761000178,0.930924,1.8166973650380265
"(0.897, 8.0]","(1.159, 3.521]",194,0.6185567010309279,1.9861710065820415,1.4176168005067058,0.927119,3.3923447707984247
